,Arists,Date,Entry,Peak,Song,Weeks
205,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
304,ED SHEERAN,10/7/2017,89,1,Perfect,30
320,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
10515,SAM SMITH,9/30/2017,5,4,Too Good At Goodbyes,24
10562,ZAYN featuring SIA,9/30/2017,44,44,Dusk Till Dawn,17
10570,LIL PUMP,9/30/2017,81,3,Gucci Gang,24
10578,"CHRIS BROWN feat YO GOTTI, A BOOGIE WIT DA HOODIE & KODAK BL",9/30/2017,98,46,Pills And Automobiles,20
10580,KELLY CLARKSON,9/30/2017,62,47,Love So Soft,13
10587,BLAKE SHELTON,9/30/2017,73,56,I'll Name The Dogs,20
10596,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
10599,METRO BOOMIN featuring OFFSET & DRAKE,9/30/2017,97,97,No Complaints,2
10607,SAM SMITH,9/30/2017,5,4,Too Good At Goodbyes,24
10626,LIL PUMP,9/30/2017,81,3,Gucci Gang,24
10641,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
10654,"CHRIS BROWN feat YO GOTTI, A BOOGIE WIT DA HOODIE & KODAK BL",9/30/2017,98,46,Pills And Automobiles,20
10658,KELLY CLARKSON,9/30/2017,62,47,Love So Soft,13
10668,ZAYN featuring SIA,9/30/2017,44,44,Dusk Till Dawn,17
10669,BLAKE SHELTON,9/30/2017,73,56,I'll Name The Dogs,20
10702,LIL PUMP,9/30/2017,81,3,Gucci Gang,24
10705,SAM SMITH,9/30/2017,5,4,Too Good At Goodbyes,24
10712,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
10745,"CHRIS BROWN feat YO GOTTI, A BOOGIE WIT DA HOODIE & KODAK BL",9/30/2017,98,46,Pills And Automobiles,20
10760,KELLY CLARKSON,9/30/2017,62,47,Love So Soft,13
10762,BLAKE SHELTON,9/30/2017,73,56,I'll Name The Dogs,20
10769,ZAYN featuring SIA,9/30/2017,44,44,Dusk Till Dawn,17
3,LIL PUMP,9/30/2017,81,3,Gucci Gang,24
4,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
7,SAM SMITH,9/30/2017,5,4,Too Good At Goodbyes,24
52,"CHRIS BROWN feat YO GOTTI, A BOOGIE WIT DA HOODIE & KODAK BL",9/30/2017,98,46,Pills And Automobiles,20
64,BLAKE SHELTON,9/30/2017,73,56,I'll Name The Dogs,20
87,ZAYN featuring SIA,9/30/2017,44,44,Dusk Till Dawn,17
109,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
112,SAM SMITH,9/30/2017,5,4,Too Good At Goodbyes,24
116,LIL PUMP,9/30/2017,81,3,Gucci Gang,24
152,"CHRIS BROWN feat YO GOTTI, A BOOGIE WIT DA HOODIE & KODAK BL",9/30/2017,98,46,Pills And Automobiles,20
197,BLAKE SHELTON,9/30/2017,73,56,I'll Name The Dogs,20
226,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
244,SAM SMITH,9/30/2017,5,4,Too Good At Goodbyes,24
246,LIL PUMP,9/30/2017,81,3,Gucci Gang,24
340,G-EAZY featuring A$AP ROCKY & CARDI B,9/30/2017,85,4,No Limit,29
10533,TAYLOR SWIFT,9/23/2017,4,4,...Ready For It?,20
10560,HALSEY,9/23/2017,81,5,Bad At Love,32
10574,LANCO,9/23/2017,86,45,Greatest Love Story,21
10581,YOUNG THUG featuring FUTURE,9/23/2017,90,65,Relationship,12
10583,CHRIS BROWN,9/23/2017,89,78,Questions,12
10589,MAREN MORRIS,9/23/2017,92,56,I Could Use A Love Song,19
10593,CHRIS JANSON,9/23/2017,95,67,Fix A Drink,13
10597,BHAD BHABIE,9/23/2017,77,77,These Heaux,3
10631,HALSEY,9/23/2017,81,5,Bad At Love,32
10651,TAYLOR SWIFT,9/23/2017,4,4,...Ready For It?,20
10653,LANCO,9/23/2017,86,45,Greatest Love Story,21
10664,YOUNG THUG featuring FUTURE,9/23/2017,90,65,Relationship,12
10676,CHRIS JANSON,9/23/2017,95,67,Fix A Drink,13
10682,MAREN MORRIS,9/23/2017,92,56,I Could Use A Love Song,19
10688,CHRIS BROWN,9/23/2017,89,78,Questions,12
10716,HALSEY,9/23/2017,81,5,Bad At Love,32
10717,TAYLOR SWIFT,9/23/2017,4,4,...Ready For It?,20
10744,LANCO,9/23/2017,86,45,Greatest Love Story,21
10766,CHRIS JANSON,9/23/2017,95,67,Fix A Drink,13
10780,MAREN MORRIS,9/23/2017,92,56,I Could Use A Love Song,19
10785,YOUNG THUG featuring FUTURE,9/23/2017,90,65,Relationship,12
10790,CHRIS BROWN,9/23/2017,89,78,Questions,12
9,HALSEY,9/23/2017,81,5,Bad At Love,32
58,TAYLOR SWIFT,9/23/2017,4,4,...Ready For It?,20
59,LANCO,9/23/2017,86,45,Greatest Love Story,21
80,MAREN MORRIS,9/23/2017,92,56,I Could Use A Love Song,19
105,HALSEY,9/23/2017,81,5,Bad At Love,32
158,LANCO,9/23/2017,86,45,Greatest Love Story,21
216,HALSEY,9/23/2017,81,5,Bad At Love,32
336,HALSEY,9/23/2017,81,5,Bad At Love,32
10522,MAROON 5 featuring SZA,9/16/2017,73,9,What Lovers Do,22
10549,XXXTENTACION,9/16/2017,31,31,Jocelyn Flores,16
10557,LIL UZI VERT,9/16/2017,39,24,The Way Life Goes,23
10564,XXXTENTACION featuring TRIPPIE REDD,9/16/2017,41,41,Fuck Love,19
10568,LIL UZI VERT,9/16/2017,49,49,Sauce It Up,15
10585,LUKE BRYAN,9/16/2017,76,57,Light It Up,19
10595,XXXTENTACION,9/16/2017,54,54,Everybody Dies In Their Nightmares,4
10618,MAROON 5 featuring SZA,9/16/2017,73,9,What Lovers Do,22
10655,LIL UZI VERT,9/16/2017,39,24,The Way Life Goes,23
10661,XXXTENTACION,9/16/2017,31,31,Jocelyn Flores,16
10666,LUKE BRYAN,9/16/2017,76,57,Light It Up,19
10674,XXXTENTACION featuring TRIPPIE REDD,9/16/2017,41,41,Fuck Love,19
10680,LIL UZI VERT,9/16/2017,49,49,Sauce It Up,15
10710,MAROON 5 featuring SZA,9/16/2017,73,9,What Lovers Do,22
10736,LIL UZI VERT,9/16/2017,39,24,The Way Life Goes,23
10759,LUKE BRYAN,9/16/2017,76,57,Light It Up,19
10781,XXXTENTACION featuring TRIPPIE REDD,9/16/2017,41,41,Fuck Love,19
10782,XXXTENTACION,9/16/2017,31,31,Jocelyn Flores,16
10789,LIL UZI VERT,9/16/2017,49,49,Sauce It Up,15
16,MAROON 5 featuring SZA,9/16/2017,73,9,What Lovers Do,22
26,LIL UZI VERT,9/16/2017,39,24,The Way Life Goes,23
71,LUKE BRYAN,9/16/2017,76,57,Light It Up,19
90,XXXTENTACION featuring TRIPPIE REDD,9/16/2017,41,41,Fuck Love,19
140,MAROON 5 featuring SZA,9/16/2017,73,9,What Lovers Do,22
141,LIL UZI VERT,9/16/2017,39,24,The Way Life Goes,23
10502,TAYLOR SWIFT,9/9/2017,77,1,Look What You Made Me Do,20
10521,GUCCI MANE featuring MIGOS,9/9/2017,34,11,I Get The Bag,27
10534,JUSTIN BIEBER + BLOODPOP,9/9/2017,20,20,Friends,10
10554,KODAK BLACK,9/9/2017,82,46,Transportin',16
10558,KODAK BLACK featuring XXXTENTACION,9/9/2017,53,31,Roll In Peace,26
10563,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
10609,TAYLOR SWIFT,9/9/2017,77,1,Look What You Made Me Do,20
10610,GUCCI MANE featuring MIGOS,9/9/2017,34,11,I Get The Bag,27
10619,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
10656,KODAK BLACK featuring XXXTENTACION,9/9/2017,53,31,Roll In Peace,26
10662,KODAK BLACK,9/9/2017,82,46,Transportin',16
10687,JUSTIN BIEBER + BLOODPOP,9/9/2017,20,20,Friends,10
10701,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
10715,GUCCI MANE featuring MIGOS,9/9/2017,34,11,I Get The Bag,27
10730,TAYLOR SWIFT,9/9/2017,77,1,Look What You Made Me Do,20
10758,KODAK BLACK featuring XXXTENTACION,9/9/2017,53,31,Roll In Peace,26
10786,KODAK BLACK,9/9/2017,82,46,Transportin',16
2,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
18,GUCCI MANE featuring MIGOS,9/9/2017,34,11,I Get The Bag,27
50,KODAK BLACK featuring XXXTENTACION,9/9/2017,53,31,Roll In Peace,26
75,TAYLOR SWIFT,9/9/2017,77,1,Look What You Made Me Do,20
102,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
123,GUCCI MANE featuring MIGOS,9/9/2017,34,11,I Get The Bag,27
130,KODAK BLACK featuring XXXTENTACION,9/9/2017,53,31,Roll In Peace,26
203,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
248,GUCCI MANE featuring MIGOS,9/9/2017,34,11,I Get The Bag,27
309,CAMILA CABELLO featuring YOUNG THUG,9/9/2017,94,1,Havana,34
10441,MARSHMELLO featuring KHALID,9/2/2017,42,30,Silence,23
10487,KIP MOORE,9/2/2017,88,66,More Girls Like You,12
10491,WIZ KHALIFA featuring TY DOLA $IGN,9/2/2017,92,92,Something New,1
10494,YOUNGBOY NEVER BROKE AGAIN,9/2/2017,95,95,Untouchable,2
10496,MAREN MORRIS,9/2/2017,97,97,I Could Use A Love Song,2
10497,CHRIS JANSON,9/2/2017,98,98,Fix A Drink,1
10499,PLAYBOI CARTI featuring LIL UZI VERT,9/2/2017,100,100,Wokeuplikethis*,1
10555,MARSHMELLO featuring KHALID,9/2/2017,42,30,Silence,23
10582,KIP MOORE,9/2/2017,88,66,More Girls Like You,12
10643,MARSHMELLO featuring KHALID,9/2/2017,42,30,Silence,23
10665,KIP MOORE,9/2/2017,88,66,More Girls Like You,12
10743,MARSHMELLO featuring KHALID,9/2/2017,42,30,Silence,23
38,MARSHMELLO featuring KHALID,9/2/2017,42,30,Silence,23
10428,P!NK,8/26/2017,82,13,What About Us,22
10451,TAY-K,8/26/2017,70,44,The Race,18
10485,KODAK BLACK,8/26/2017,76,76,Patty Cake,3
10488,JACQUEES,8/26/2017,94,69,B.E.D.,13
10492,RAE SREMMURD,8/26/2017,84,84,Perplexing Pegasus,3
10525,P!NK,8/26/2017,82,13,What About Us,22
10553,TAY-K,8/26/2017,70,44,The Race,18
10572,JACQUEES,8/26/2017,94,69,B.E.D.,13
10612,P!NK,8/26/2017,82,13,What About Us,22
10657,TAY-K,8/26/2017,70,44,The Race,18
10685,JACQUEES,8/26/2017,94,69,B.E.D.,13
10719,P!NK,8/26/2017,82,13,What About Us,22
10770,TAY-K,8/26/2017,70,44,The Race,18
61,P!NK,8/26/2017,82,13,What About Us,22
10462,BLACKBEAR,8/19/2017,75,40,do re mi,18
10467,LUKE COMBS,8/19/2017,85,33,When It Rains It Pours,20
10472,THOMAS RHETT,8/19/2017,68,47,Unforgettable,20
10474,SZA,8/19/2017,89,29,The Weekend,25
10476,THE CHAINSMOKERS,8/19/2017,88,77,Honest,4
10479,KENNY CHESNEY,8/19/2017,98,63,All The Pretty Girls,14
10480,DUA LIPA,8/19/2017,90,6,New Rules,37
10481,JASON ALDEAN,8/19/2017,87,67,They Don't Know,12
10484,CARLY PEARCE,8/19/2017,94,50,Every Little Thing,17
10486,THE REVIVALISTS,8/19/2017,93,84,Wish I Knew You,9
10493,CHRIS LANE,8/19/2017,99,92,For Her,4
10543,LUKE COMBS,8/19/2017,85,33,When It Rains It Pours,20
10548,THOMAS RHETT,8/19/2017,68,47,Unforgettable,20
10550,BLACKBEAR,8/19/2017,75,40,do re mi,18
10551,SZA,8/19/2017,89,29,The Weekend,25
10552,DUA LIPA,8/19/2017,90,6,New Rules,37
10567,KENNY CHESNEY,8/19/2017,98,63,All The Pretty Girls,14
10573,JASON ALDEAN,8/19/2017,87,67,They Don't Know,12
10575,CARLY PEARCE,8/19/2017,94,50,Every Little Thing,17
10598,THE REVIVALISTS,8/19/2017,93,84,Wish I Knew You,9
10632,LUKE COMBS,8/19/2017,85,33,When It Rains It Pours,20
10637,DUA LIPA,8/19/2017,90,6,New Rules,37
10639,BLACKBEAR,8/19/2017,75,40,do re mi,18
10644,SZA,8/19/2017,89,29,The Weekend,25
10647,THOMAS RHETT,8/19/2017,68,47,Unforgettable,20
10649,CARLY PEARCE,8/19/2017,94,50,Every Little Thing,17
10678,KENNY CHESNEY,8/19/2017,98,63,All The Pretty Girls,14
10698,JASON ALDEAN,8/19/2017,87,67,They Don't Know,12
10718,DUA LIPA,8/19/2017,90,6,New Rules,37
10737,SZA,8/19/2017,89,29,The Weekend,25
10738,LUKE COMBS,8/19/2017,85,33,When It Rains It Pours,20
10741,BLACKBEAR,8/19/2017,75,40,do re mi,18
10754,THOMAS RHETT,8/19/2017,68,47,Unforgettable,20
10771,CARLY PEARCE,8/19/2017,94,50,Every Little Thing,17
12,DUA LIPA,8/19/2017,90,6,New Rules,37
28,SZA,8/19/2017,89,29,The Weekend,25
107,DUA LIPA,8/19/2017,90,6,New Rules,37
210,DUA LIPA,8/19/2017,90,6,New Rules,37
319,DUA LIPA,8/19/2017,90,6,New Rules,37
10455,LOUIS TOMLINSON featuring BEBE REXHA & DIGITAL FARM ANIMALS,8/12/2017,40,40,Back To You,10
10495,DESCENDANTS 2 CAST,8/12/2017,81,77,It's Goin' Down,4
10577,LOUIS TOMLINSON featuring BEBE REXHA & DIGITAL FARM ANIMALS,8/12/2017,40,40,Back To You,10
10374,FRENCH MONTANA featuring THE WEEKND & MAX B,8/5/2017,75,75,A Lie,1
10377,FIFTH HARMONY featuring GUCCI MANE,8/5/2017,78,78,Down,4
10385,JAKE PAUL & ERIKA COSTELL featuring UNCLE KADE,8/5/2017,86,86,Jerika,1
10388,MEEK MILL featuring CHRIS BROWN & TY DOLLA $IGN,8/5/2017,89,51,Whatever You Need,12
10390,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
10391,NICKY JAM,8/5/2017,92,92,El Amante,5
10393,BROTHERS OSBORNE,8/5/2017,94,79,It Ain't My Fault,12
10394,"ENRIQUE IGLESIAS featuring DESCEMER BUENO, ZION & LENNOX",8/5/2017,95,91,Subeme La Radio,3
10395,KESHA featuring THE DAP-KINGS HORNS,8/5/2017,96,96,Woman,1
10396,CALVIN HARRIS featuring FUTURE & KHALID,8/5/2017,97,97,Rollin,1
10399,METRO BOOMIN featuring OFFSET & DRAKE,8/5/2017,100,100,No Complaints,1
10448,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
10460,MEEK MILL featuring CHRIS BROWN & TY DOLLA $IGN,8/5/2017,89,51,Whatever You Need,12
10478,BROTHERS OSBORNE,8/5/2017,94,79,It Ain't My Fault,12
10498,NICKY JAM,8/5/2017,92,92,El Amante,5
10526,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
10579,MEEK MILL featuring CHRIS BROWN & TY DOLLA $IGN,8/5/2017,89,51,Whatever You Need,12
10590,BROTHERS OSBORNE,8/5/2017,94,79,It Ain't My Fault,12
10624,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
10728,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
32,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
134,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
230,KHALID,8/5/2017,91,18,Young Dumb & Broke,36
10322,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
10326,SELENA GOMEZ featuring GUCCI MANE,7/29/2017,92,27,Fetish,12
10333,21 SAVAGE,7/29/2017,33,12,Bank Account,29
10339,KESHA,7/29/2017,25,22,Praying,21
10360,JAY-Z,7/29/2017,35,35,4:44,2
10371,JAY-Z,7/29/2017,23,23,The Story Of O.J.,3
10398,MACKLEMORE featuring SKYLAR GREY,7/29/2017,89,49,Glorious,18
10411,21 SAVAGE,7/29/2017,33,12,Bank Account,29
10421,KESHA,7/29/2017,25,22,Praying,21
10424,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
10447,SELENA GOMEZ featuring GUCCI MANE,7/29/2017,92,27,Fetish,12
10470,MACKLEMORE featuring SKYLAR GREY,7/29/2017,89,49,Glorious,18
10514,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
10516,21 SAVAGE,7/29/2017,33,12,Bank Account,29
10527,KESHA,7/29/2017,25,22,Praying,21
10561,MACKLEMORE featuring SKYLAR GREY,7/29/2017,89,49,Glorious,18
10586,SELENA GOMEZ featuring GUCCI MANE,7/29/2017,92,27,Fetish,12
10606,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
10615,21 SAVAGE,7/29/2017,33,12,Bank Account,29
10627,KESHA,7/29/2017,25,22,Praying,21
10663,MACKLEMORE featuring SKYLAR GREY,7/29/2017,89,49,Glorious,18
10711,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
10726,21 SAVAGE,7/29/2017,33,12,Bank Account,29
10727,KESHA,7/29/2017,25,22,Praying,21
20,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
34,21 SAVAGE,7/29/2017,33,12,Bank Account,29
131,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
146,21 SAVAGE,7/29/2017,33,12,Bank Account,29
240,DEMI LOVATO,7/29/2017,52,6,Sorry Not Sorry,36
10340,YO GOTTI featuring NICKI MINAJ,7/22/2017,78,8,Rake It Up,22
10341,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
10348,CARDI B,7/22/2017,85,1,Bodak Yellow,35
10380,JON PARDI,7/22/2017,89,47,Heartache On The Dance Floor,18
10402,CARDI B,7/22/2017,85,1,Bodak Yellow,35
10420,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
10423,YO GOTTI featuring NICKI MINAJ,7/22/2017,78,8,Rake It Up,22
10454,JON PARDI,7/22/2017,89,47,Heartache On The Dance Floor,18
10500,CARDI B,7/22/2017,85,1,Bodak Yellow,35
10507,YO GOTTI featuring NICKI MINAJ,7/22/2017,78,8,Rake It Up,22
10518,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
10546,JON PARDI,7/22/2017,89,47,Heartache On The Dance Floor,18
10601,CARDI B,7/22/2017,85,1,Bodak Yellow,35
10605,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
10616,YO GOTTI featuring NICKI MINAJ,7/22/2017,78,8,Rake It Up,22
10672,JON PARDI,7/22/2017,89,47,Heartache On The Dance Floor,18
10704,CARDI B,7/22/2017,85,1,Bodak Yellow,35
10709,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
10722,YO GOTTI featuring NICKI MINAJ,7/22/2017,78,8,Rake It Up,22
11,CARDI B,7/22/2017,85,1,Bodak Yellow,35
24,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
122,CARDI B,7/22/2017,85,1,Bodak Yellow,35
143,J BALVIN & WILLY WILLIAM,7/22/2017,70,3,Mi Gente,30
232,CARDI B,7/22/2017,85,1,Bodak Yellow,35
10346,BRUNO MARS,7/15/2017,78,33,Versace On The Floor,12
10381,GOLDLINK featuring BRENT FAIYAZ & SHY GLIZZY,7/15/2017,94,45,Crew,21
10387,DRAKE,7/15/2017,36,36,Signs,6
10397,KENDRICK LAMAR,7/15/2017,89,89,Element.,4
10432,BRUNO MARS,7/15/2017,78,33,Versace On The Floor,12
10453,GOLDLINK featuring BRENT FAIYAZ & SHY GLIZZY,7/15/2017,94,45,Crew,21
10545,GOLDLINK featuring BRENT FAIYAZ & SHY GLIZZY,7/15/2017,94,45,Crew,21
10646,GOLDLINK featuring BRENT FAIYAZ & SHY GLIZZY,7/15/2017,94,45,Crew,21
10749,GOLDLINK featuring BRENT FAIYAZ & SHY GLIZZY,7/15/2017,94,45,Crew,21
10301,DJ KHALED featuring RIHANNA & BRYSON TILLER,7/8/2017,4,2,Wild Thoughts,21
10325,"CALVIN HARRIS feat PHARRELL WILLIAMS, KATY PERRY & BIG SEAN",7/8/2017,51,20,Feels,18
10362,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
10401,DJ KHALED featuring RIHANNA & BRYSON TILLER,7/8/2017,4,2,Wild Thoughts,21
10419,"CALVIN HARRIS feat PHARRELL WILLIAMS, KATY PERRY & BIG SEAN",7/8/2017,51,20,Feels,18
10425,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
10509,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
10511,DJ KHALED featuring RIHANNA & BRYSON TILLER,7/8/2017,4,2,Wild Thoughts,21
10542,"CALVIN HARRIS feat PHARRELL WILLIAMS, KATY PERRY & BIG SEAN",7/8/2017,51,20,Feels,18
10603,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
10630,DJ KHALED featuring RIHANNA & BRYSON TILLER,7/8/2017,4,2,Wild Thoughts,21
10693,"CALVIN HARRIS feat PHARRELL WILLIAMS, KATY PERRY & BIG SEAN",7/8/2017,51,20,Feels,18
10708,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
19,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
124,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
231,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
331,PORTUGAL. THE MAN,7/8/2017,89,4,Feel It Still,43
10215,DAVID GUETTA featuring JUSTIN BIEBER,7/1/2017,16,16,2U,11
10269,SZA featuring TRAVIS SCOTT,7/1/2017,70,32,Love Galore,20
10278,BILLY CURRINGTON,7/1/2017,79,47,Do I Make You Wanna,19
10288,WISIN featuring OZUNA,7/1/2017,89,63,Escapate Conmigo,20
10292,KANE BROWN featuring LAUREN ALAINA,7/1/2017,93,26,What Ifs,23
10294,"2 CHAINZ featuring TY DOLLA $IGN, TREY SONGZ & JHENE AIKO",7/1/2017,95,44,It's A Vibe,20
10296,THE WEEKND,7/1/2017,97,65,Reminder,11
10299,BROTHERS OSBORNE,7/1/2017,100,97,It Ain't My Fault,4
10331,DAVID GUETTA featuring JUSTIN BIEBER,7/1/2017,16,16,2U,11
10352,SZA featuring TRAVIS SCOTT,7/1/2017,70,32,Love Galore,20
10355,"2 CHAINZ featuring TY DOLLA $IGN, TREY SONGZ & JHENE AIKO",7/1/2017,95,44,It's A Vibe,20
10356,BILLY CURRINGTON,7/1/2017,79,47,Do I Make You Wanna,19
10364,KANE BROWN featuring LAUREN ALAINA,7/1/2017,93,26,What Ifs,23
10369,WISIN featuring OZUNA,7/1/2017,89,63,Escapate Conmigo,20
10389,THE WEEKND,7/1/2017,97,65,Reminder,11
10434,SZA featuring TRAVIS SCOTT,7/1/2017,70,32,Love Galore,20
10443,KANE BROWN featuring LAUREN ALAINA,7/1/2017,93,26,What Ifs,23
10446,"2 CHAINZ featuring TY DOLLA $IGN, TREY SONGZ & JHENE AIKO",7/1/2017,95,44,It's A Vibe,20
10461,BILLY CURRINGTON,7/1/2017,79,47,Do I Make You Wanna,19
10463,DAVID GUETTA featuring JUSTIN BIEBER,7/1/2017,16,16,2U,11
10468,WISIN featuring OZUNA,7/1/2017,89,63,Escapate Conmigo,20
10475,THE WEEKND,7/1/2017,97,65,Reminder,11
10531,KANE BROWN featuring LAUREN ALAINA,7/1/2017,93,26,What Ifs,23
10532,SZA featuring TRAVIS SCOTT,7/1/2017,70,32,Love Galore,20
10559,"2 CHAINZ featuring TY DOLLA $IGN, TREY SONGZ & JHENE AIKO",7/1/2017,95,44,It's A Vibe,20
10569,WISIN featuring OZUNA,7/1/2017,89,63,Escapate Conmigo,20
10594,BILLY CURRINGTON,7/1/2017,79,47,Do I Make You Wanna,19
10625,KANE BROWN featuring LAUREN ALAINA,7/1/2017,93,26,What Ifs,23
10640,SZA featuring TRAVIS SCOTT,7/1/2017,70,32,Love Galore,20
10667,"2 CHAINZ featuring TY DOLLA $IGN, TREY SONGZ & JHENE AIKO",7/1/2017,95,44,It's A Vibe,20
10671,WISIN featuring OZUNA,7/1/2017,89,63,Escapate Conmigo,20
10699,BILLY CURRINGTON,7/1/2017,79,47,Do I Make You Wanna,19
10742,KANE BROWN featuring LAUREN ALAINA,7/1/2017,93,26,What Ifs,23
10252,DJ KHALED featuring DRAKE,6/24/2017,53,53,To The Max,4
10270,FIFTH HARMONY featuring GUCCI MANE,6/24/2017,42,42,Down,5
10275,DUSTIN LYNCH,6/24/2017,85,36,Small Town Boy,20
10283,2 CHAINZ featuring TRAVIS SCOTT,6/24/2017,73,55,4:00 AM,12
10289,"ENRIQUE IGLESIAS featuring DESCEMER BUENO, ZION & LENNOX",6/24/2017,96,90,Subeme La Radio,3
10290,JUSTIN MOORE,6/24/2017,97,59,Somebody Else Will,12
10291,TREY SONGZ,6/24/2017,99,92,Nobody Else But You,3
10298,"MAJOR LAZER featuring TRAVIS SCOTT, CAMILA CABELLO & QUAVO",6/24/2017,87,87,Know No Better,2
10351,DUSTIN LYNCH,6/24/2017,85,36,Small Town Boy,20
10382,2 CHAINZ featuring TRAVIS SCOTT,6/24/2017,73,55,4:00 AM,12
10383,JUSTIN MOORE,6/24/2017,97,59,Somebody Else Will,12
10437,DUSTIN LYNCH,6/24/2017,85,36,Small Town Boy,20
10458,JUSTIN MOORE,6/24/2017,97,59,Somebody Else Will,12
10489,2 CHAINZ featuring TRAVIS SCOTT,6/24/2017,73,55,4:00 AM,12
10539,DUSTIN LYNCH,6/24/2017,85,36,Small Town Boy,20
10652,DUSTIN LYNCH,6/24/2017,85,36,Small Town Boy,20
10277,OLD DOMINION,6/17/2017,90,46,No Such Thing As A Broken Heart,19
10280,TRAVIS SCOTT,6/17/2017,99,51,Butterfly Effect,22
10359,TRAVIS SCOTT,6/17/2017,99,51,Butterfly Effect,22
10363,OLD DOMINION,6/17/2017,90,46,No Such Thing As A Broken Heart,19
10449,OLD DOMINION,6/17/2017,90,46,No Such Thing As A Broken Heart,19
10457,TRAVIS SCOTT,6/17/2017,99,51,Butterfly Effect,22
10556,TRAVIS SCOTT,6/17/2017,99,51,Butterfly Effect,22
10576,OLD DOMINION,6/17/2017,90,46,No Such Thing As A Broken Heart,19
10650,TRAVIS SCOTT,6/17/2017,99,51,Butterfly Effect,22
10243,LIAM PAYNE featuring QUAVO,6/10/2017,42,10,Strip That Down,28
10254,CAMILA CABELLO,6/10/2017,47,47,Crying In The Club,9
10261,KATY PERRY featuring NICKI MINAJ,6/10/2017,46,46,Swish Swish,7
10272,AJR,6/10/2017,96,73,Weak,9
10274,RASCAL FLATTS,6/10/2017,76,71,Yours If You Want It,10
10287,HAILEE STEINFELD,6/10/2017,77,58,Most Girls,16
10297,DRAKE,6/10/2017,84,79,Gyalchester,4
10324,LIAM PAYNE featuring QUAVO,6/10/2017,42,10,Strip That Down,28
10357,HAILEE STEINFELD,6/10/2017,77,58,Most Girls,16
10370,RASCAL FLATTS,6/10/2017,76,71,Yours If You Want It,10
10372,CAMILA CABELLO,6/10/2017,47,47,Crying In The Club,9
10392,AJR,6/10/2017,96,73,Weak,9
10412,LIAM PAYNE featuring QUAVO,6/10/2017,42,10,Strip That Down,28
10466,HAILEE STEINFELD,6/10/2017,77,58,Most Girls,16
10512,LIAM PAYNE featuring QUAVO,6/10/2017,42,10,Strip That Down,28
10620,LIAM PAYNE featuring QUAVO,6/10/2017,42,10,Strip That Down,28
10731,LIAM PAYNE featuring QUAVO,6/10/2017,42,10,Strip That Down,28
